Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Seated Knee Tucks Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/seated-leg-tucks.html
Lying Floor Knee Tuck Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-floor-knee-raise.html
Roman Chair Leg Raise Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull,Intermediate,"Hip Flexors, Lower Back",Abs,https://www.muscleandstrength.com/exercises/horizontal-leg-raise.html
Oblique Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/standing-oblique-cable-crunch.html
Standing Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/standing-cable-crunch.html
Hanging Knee Raise With Twist Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Intermediate,Forearms,Abs,https://www.muscleandstrength.com/exercises/twisting-hanging-knee-raise.html
Abominal Hip Thrust Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/hip-thrusts.html
Twisting Lying Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/twisting-lying-cable-crunch.html
Decline Bench Leg Raise Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-bench-leg-raise.html
Straight Leg Toe Touch (Floor Toe Reach) Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,Abs,https://www.muscleandstrength.com/exercises/floor-reach.html
Reach And Catch Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/reach-and-catch.html
Decline Bench Abdominal Reach Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-abdominal-reach.html
Feet Elevated Plank Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Static,Beginner,Upper Back,Abs,https://www.muscleandstrength.com/exercises/plank-with-feet-on-bench.html
Rotating Crunch (Legs On Bench) Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/twisting-bench-crunch.html
Alternating Lying Leg Raise Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,Hip Flexors,Abs,https://www.muscleandstrength.com/exercises/lying-alternate-floor-leg-raise.html
Roman Chair Knee Raise Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/chair-knee-raise.html
Twisting Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/twisting-cable-crunch.html
Roman Chair Weighted Knee Raise Video Exercise Guide,Abs,Strength,Dumbbell,Compound,Pull,Advanced,"Hip Flexors, Lower Back",Abs,https://www.muscleandstrength.com/exercises/weighted-chair-knee-raise.html
Decline Bench Sit Up With Twist Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/twisting-decline-sit-up.html
