url,slug,name,force,grips,mechanic,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,description,instructions_html,images
https://musclewiki.com/exercise/band-single-arm-lateral-raise,band-single-arm-lateral-raise,Band Single Arm Lateral Raise,Pull,Neutral,Compound,Shoulders | Lateral Deltoid | Front Shoulders,,Beginner,Bodyweight,Band,Step-by-step guide for performing Band Single Arm Lateral Raise,,https://media.musclewiki.com/media/uploads/og-male-Band-band-single-arm-lateral-raise-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-single-arm-lateral-raise-side.jpg
https://musclewiki.com/exercise/band-single-arm-overhead-press,band-single-arm-overhead-press,Band Single Arm Overhead Press,Push,,Compound,Shoulders | Lateral Deltoid | Anterior Deltoid | Triceps | Traps | Front Shoulders,Triceps,Novice,Bodyweight,Band,Step-by-step guide for performing Band Single Arm Overhead Press,,https://media.musclewiki.com/media/uploads/og-male-band-single-arm-overhead-press-front.jpg | https://media.musclewiki.com/media/uploads/og-male-band-single-arm-overhead-press-side.jpg
https://musclewiki.com/exercise/band-single-arm-pec-fly,band-single-arm-pec-fly,Band Single Arm Pec Fly,,,,Chest,,Beginner,Bodyweight,Band,Step-by-step guide for performing Band Single Arm Pec Fly,,https://media.musclewiki.com/media/uploads/og-male-band-chest-fly-front.jpg | https://media.musclewiki.com/media/uploads/og-male-band-chest-fly-side.jpg
https://musclewiki.com/exercise/band-skullcrusher,band-skullcrusher,Band Skullcrusher,Push,,Isolation,Triceps,,Advanced,Bodyweight,Band,Step-by-step guide for performing Band Skullcrusher,,https://media.musclewiki.com/media/uploads/og-male-Band-band-skullcrusher-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-skullcrusher-side.jpg
https://musclewiki.com/exercise/band-spanish-squat,band-spanish-squat,Band Spanish Squat,Push,,Compound,Glutes | Quads,,Advanced,Bodyweight,Band,Step-by-step guide for performing Band Spanish Squat,,https://media.musclewiki.com/media/uploads/og-male-Band-band-spanish-squat-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-spanish-squat-side.jpg
https://musclewiki.com/exercise/band-squat,band-squat,Band Squat,Push,,Compound,Glutes | Quads,,Novice,Bodyweight,Band,Step-by-step guide for performing Band Squat,,https://media.musclewiki.com/media/uploads/og-male-Band-band-squat-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-squat-side.jpg
https://musclewiki.com/exercise/band-upright-row,band-upright-row,Band Upright Row,Pull,Overhand,Isolation,Shoulders | Lateral Deltoid | Front Shoulders,Anterior Deltoid | Traps,Advanced,Bodyweight,Band,Step-by-step guide for performing Band Upright Row,,https://media.musclewiki.com/media/uploads/og-male-Band-band-upright-row-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-upright-row-front.jpg
https://musclewiki.com/exercise/band-wood-chopper,band-wood-chopper,Band Wood Chopper,Pull,,Isolation,Obliques,,Advanced,Bodyweight,Band,Step-by-step guide for performing Band Wood Chopper,,https://media.musclewiki.com/media/uploads/og-male-Band-band-wood-chopper-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Band-band-wood-chopper-side.jpg
https://musclewiki.com/exercise/barbell-behind-the-back-30-degree-shrug,barbell-behind-the-back-30-degree-shrug,Barbell Behind The Back 30 Degree Shrug,Pull,Neutral,Isolation,Traps,,Beginner,Bodyweight,Barbell,Step-by-step guide for performing Barbell Behind The Back 30 Degree Shrug,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-back-30-degree-shrug-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-back-30-degree-shrug-side.jpg
https://musclewiki.com/exercise/barbell-behind-the-back-shrug,barbell-behind-the-back-shrug,Barbell Behind The Back Shrug,Pull,Overhand,Isolation,Traps | Upper Traps,,Beginner,Bodyweight,Barbell,Step-by-step guide for performing Barbell Behind The Back Shrug,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-back-shrug-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-back-shrug-front.jpg
